epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.836,1.42844,2.58629,1.27055,0.49137,0.40211,0.38797,0.25266,1.32412,1.55946,1.22269,0.000221783,0.000221783,0.000221783
2,230.529,1.45843,1.91314,1.31043,0.5019,0.4013,0.39126,0.24774,1.3468,1.54328,1.23832,0.000356181,0.000356181,0.000356181
3,342.016,1.45438,1.83426,1.31182,0.51659,0.42649,0.43013,0.27557,1.34055,1.46198,1.22827,0.000402536,0.000402536,0.000402536
4,453.152,1.41041,1.7377,1.283,0.55663,0.43435,0.46009,0.3012,1.30296,1.36029,1.20816,0.000270802,0.000270802,0.000270802
5,562.282,1.3624,1.63057,1.25434,0.62224,0.45044,0.50116,0.33075,1.26798,1.28261,1.18594,0.000138736,0.000138736,0.000138736
